instId,instType,baseCcy,quoteCcy,settleCcy,ctVal,ctMult,ctValCcy,optType,stk,listTime,expTime,tickSz,lotSz,minSz,maxSz,maxLmtSz,maxMktSz,maxTwapSz,maxIcebergSz,maxTriggerSz,maxStopSz,last,lastSz,askPx,askSz,bidPx,bidSz,open24h,high24h,low24h,volCcy24h,vol24h,sodUtc0,sodUtc8,ts,minOrderSize,maxOrderSize,minOrderValue,maxOrderValue
FIL-USD-SWAP,SWAP,,,FIL,10,1,USD,,,1607580000000,,0.001,1,1,,100000000,8000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,8000,2.397,2,2.397,2289,2.396,288,2.445,2.459,2.349,8782896.8084,2097616,2.36,2.392,1755693510804,,,,
LINK-USD-SWAP,SWAP,,,LINK,10,1,USD,,,1582888608000,,0.001,1,1,,100000000,7000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,7000,25.054,2,25.058,31,25.055,72,24.532,25.26,23.356,597154.2078,1449725,23.562,24.268,1755693511007,,,,
LTC-USD-SWAP,SWAP,,,LTC,10,1,USD,,,1545378827000,,0.01,1,1,,100000000,20000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,20000,114.81,7,114.77,48,114.76,542,115.77,116.75,112.18,131746.909,1503573,112.62,113.99,1755693511018,,,,
SUI-USD-SWAP,SWAP,,,SUI,10,1,USD,,,1729234800104,,0.0001,1,1,,100000000,10000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,10000,3.482,1,3.4787,6,3.4782,14,3.6051,3.6064,3.4118,715999.7904,249566,3.4186,3.4898,1755693510913,,,,
UNI-USD-SWAP,SWAP,,,UNI,10,1,USD,,,1600340400000,,0.001,1,1,,100000000,10000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,10000,10.226,28,10.224,79,10.223,35,10.447,10.503,9.878,691364.4031,700528,9.946,10.22,1755693510710,,,,
BTC-USDT-SWAP,SWAP,,,USDT,0.01,1,BTC,,,1573557408000,,0.1,0.01,0.01,,100000000,12000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,12000,113749.1,0.41,113749.1,340.88,113749,501.16,115453.3,115832.9,112507.7,61668.0863,6166808.63,112826,113734,1755693511006,,,,
ETH-USDT-SWAP,SWAP,,,USDT,0.1,1,ETH,,,1573557408000,,0.01,0.01,0.01,,100000000,20000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,20000,4193.44,0.47,4193.45,705.5,4193.44,1136.5,4302.57,4339.96,4060.79,5527598.315,55275983.15,4074.99,4190.41,1755693511084,,,,
SOL-USDT-SWAP,SWAP,,,USDT,1,1,SOL,,,1611298800000,,0.01,0.01,0.01,,100000000,15000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,15000,181.72,0.99,181.72,5.61,181.71,1118.48,182.1,183.33,175.57,8930234.71,8930234.71,176.12,177.89,1755693511017,,,,
TON-USDT-SWAP,SWAP,,,USDT,1,1,TON,,,1672210451828,,0.001,1,1,,100000000,40000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,40000,3.245,2,3.246,3061,3.245,1267,3.275,3.286,3.182,9355524,9355524,3.222,3.204,1755693511018,,,,
DOGE-USDT-SWAP,SWAP,,,USDT,1000,1,DOGE,,,1587463971000,,0.00001,0.01,0.01,,100000000,12000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,12000,0.21454,2.18,0.21454,8.62,0.21453,292.27,0.21979,0.2223,0.20805,5197013160,5197013.16,0.20936,0.21437,1755693511006,,,,
XRP-USDT-SWAP,SWAP,,,USDT,100,1,XRP,,,1573557408000,,0.0001,0.01,0.01,,100000000,15000,100000000.0000000000000000,100000000.0000000000000000,100000000.0000000000000000,15000,2.896,0.36,2.896,8.13,2.8959,206.16,3.0108,3.0372,2.8469,267403206,2674032.06,2.8595,2.9279,1755693510804,,,,
