instId,instType,baseCcy,quoteCcy,settleCcy,ctVal,ctMult,ctValCcy,optType,stk,listTime,expTime,tickSz,lotSz,minSz,maxSz,maxLmtSz,maxMktSz,maxTwapSz,maxIcebergSz,maxTriggerSz,maxStopSz,last,lastSz,askPx,askSz,bidPx,bidSz,open24h,high24h,low24h,volCcy24h,vol24h,sodUtc0,sodUtc8,ts,minOrderSize,maxOrderSize,minOrderValue,maxOrderValue
SOL-AED,SPOT,SOL,AED,,,,,,,1733799900000,,0.1,0.0000001,0.001,,99999999999,1000000,99999999999.0000000000000000,99999999999.0000000000000000,99999999999.0000000000000000,1000000,664.8,0.0333468,664.9,448.7718293,664.8,11.6328505,669.2,673.6,646.3,209586.14312419,318.2398048,654.3,653.8,1755693501027,,,,
XRP-AED,SPOT,XRP,AED,,,,,,,1733800200000,,0.001,0.0001,0.1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,10.662,0.1572,10.652,172.4042,10.637,345.2946,11.071,11.156,10.476,591181.0983558,55416.3478,10.581,10.757,1755693509709,,,,
TRUMP-AED,SPOT,TRUMP,AED,,,,,,,1737542400000,,0.01,0.0001,0.1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,32.02,0.3433,32.33,11.3606,32.24,22.7846,33.68,33.68,32.02,378.281078,11.8139,32.02,32.02,1755693507916,,,,
USDT-AED,SPOT,USDT,AED,,,,,,,1726545600000,,0.001,0.0001,0.1,,99999999999999,1000000,99999999999999.0000000000000000,99999999999999.0000000000000000,99999999999999.0000000000000000,1000000,3.676,19.0431,3.676,64426.2631,3.675,9035.1777,3.677,3.677,3.674,3328953.8128331,905649.6618,3.676,3.676,1755693480012,,,,
BTC-BRL,SPOT,BTC,BRL,,,,,,,1707359400000,,1,0.00000001,0.0001,,9999999999,1000000,9999999999.0000000000000000,9999999999.0000000000000000,9999999999.0000000000000000,1000000,624424,0.00006699,624435,0.00010319,624042,0.00010319,630339,636242,620823,710081.15906544,1.13560585,622861,624042,1755693510814,,,,
ETH-BRL,SPOT,ETH,BRL,,,,,,,1707360300000,,0.1,0.0000001,0.001,,99999999999,1000000,99999999999.0000000000000000,99999999999.0000000000000000,99999999999.0000000000000000,1000000,23008.8,0.0021079,23032,0.0239,22994.3,2.1207924,23582.7,23812.8,22494.2,618643.6223934,26.8661893,22531,23127.8,1755693510919,,,,
SOL-BRL,SPOT,SOL,BRL,,,,,,,1733799300000,,0.1,0.000001,0.001,,999999999999,1000000,999999999999.0000000000000000,999999999999.0000000000000000,999999999999.0000000000000000,1000000,992.6,0.170835,997.9,6.127105,996.2,1.003915,995.7,1005.2,966.7,175179.7858802,177.204172,977.4,974.8,1755693510919,,,,
XRP-BRL,SPOT,XRP,BRL,,,,,,,1733799600000,,0.001,0.00001,0.1,,9999999999999,1000000,9999999999999.0000000000000000,9999999999999.0000000000000000,9999999999999.0000000000000000,1000000,15.88,0.31987,15.918,62.99609,15.875,62.99609,16.427,16.67,15.773,301633.58413432,18861.18642,15.813,16.054,1755693511006,,,,
PI-BRL,SPOT,PI,BRL,,,,,,,1741338000000,,0.001,0.001,1,,999999999999999,1000000,999999999999999.0000000000000000,999999999999999.0000000000000000,999999999999999.0000000000000000,1000000,1.933,2.046,1.926,260.28,1.92,170.93,1.944,1.959,1.89,192267.329636,99990.284,1.912,1.931,1755693510219,,,,
PEPE-BRL,SPOT,PEPE,BRL,,,,,,,1715045400000,,0.00000001,1,100000,,9999999999999999,1000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,9999999999999999.0000000000000000,1000000,0.00005684,265830,0.0000569,17596340,0.0000568,2565700,0.00005857,0.00005952,0.00005592,94349.00589664,1651558991,0.00005633,0.0000568,1755693510211,,,,
